student_id,study_hours,attendance_percentage,internet_access,extra_activities,math_score,science_score,english_score,overall_score,final_grade
1,3.1,84.3,yes,yes,42.7,55.4,57.0,53.1,E
2,3.7,87.8,yes,no,57.6,68.8,64.8,61.3,D
3,7.9,65.5,no,no,84.8,95.0,79.2,89.6,B
4,1.1,58.1,no,no,44.4,27.5,54.7,41.6,E
5,1.3,61.0,yes,yes,8.9,32.7,30.0,25.4,F
6,3.8,69.6,yes,yes,51.5,78.3,63.9,63.5,D
7,1.8,81.6,yes,no,41.9,29.4,39.2,39.1,F
8,5.6,59.4,yes,yes,56.7,60.1,53.4,69.6,D
9,3.2,89.6,yes,yes,54.1,59.5,38.3,55.2,D
10,6.8,62.4,yes,no,71.9,70.4,81.3,69.6,D
11,6.1,90.5,yes,no,75.4,82.7,70.8,77.5,C
12,4.0,96.2,yes,yes,62.0,54.7,58.0,65.0,D
13,6.8,58.2,yes,no,75.1,80.5,56.2,73.6,C
14,1.3,95.9,yes,yes,33.6,26.8,50.0,42.5,E
15,4.9,85.3,yes,no,88.1,66.1,70.3,69.3,D
16,5.0,94.4,yes,yes,66.4,76.9,76.1,73.7,C
17,2.3,67.3,yes,yes,63.1,46.3,57.1,53.5,E
19,4.5,73.8,yes,yes,38.7,69.9,58.3,59.2,D
20,4.4,59.5,yes,no,49.9,53.9,60.4,61.9,D
21,5.4,99.8,yes,no,84.9,77.6,77.6,81.3,C
22,2.1,97.4,yes,yes,76.7,31.9,39.3,55.0,D
23,1.8,56.2,no,yes,41.3,35.2,19.9,33.5,F
24,7.8,72.8,yes,yes,100.0,100.0,100.0,94.6,B
25,1.4,99.3,yes,no,38.9,31.2,57.3,41.4,E
26,8.0,77.4,yes,no,100.0,87.7,69.3,92.5,B
27,5.9,74.9,yes,no,94.6,92.8,86.9,82.5,C
28,5.2,59.8,yes,yes,42.9,89.9,63.4,75.4,C
29,3.0,71.0,yes,no,40.5,44.5,68.1,45.1,E
30,7.0,74.9,yes,yes,76.1,73.5,71.7,82.6,C
31,7.3,85.7,yes,yes,79.6,86.0,95.4,90.4,B
32,5.9,72.5,yes,yes,79.3,82.5,77.4,77.1,C
33,5.8,81.7,yes,yes,94.5,72.1,84.8,78.8,C
34,4.2,55.1,no,no,60.5,57.4,72.9,62.2,D
35,1.1,88.2,yes,no,39.8,39.6,36.5,46.9,E
36,8.0,50.2,yes,no,93.1,99.8,100.0,90.4,B
37,0.6,82.1,yes,no,45.9,43.5,35.0,42.0,E
38,4.2,91.3,yes,no,82.4,73.5,61.7,79.0,C
39,3.3,88.3,yes,yes,53.5,67.4,61.7,66.5,D
40,6.3,57.4,yes,yes,78.1,70.0,63.8,65.4,D
41,6.0,92.2,yes,yes,72.8,72.5,100.0,88.7,B
42,5.2,54.0,yes,yes,42.8,58.2,60.1,53.9,E
43,1.1,53.3,yes,no,31.4,36.4,29.0,23.7,F
44,2.3,91.1,yes,no,76.4,56.2,56.4,63.6,D
45,1.2,59.1,yes,no,37.5,35.0,54.0,42.3,E
46,7.8,72.4,yes,no,77.3,94.5,88.0,83.5,C
47,1.5,96.8,yes,no,42.4,29.9,53.9,48.7,E
48,7.8,60.4,yes,yes,85.1,100.0,100.0,96.3,A
49,1.3,89.0,yes,yes,31.5,26.9,32.6,37.5,F
50,7.0,79.2,no,no,86.6,91.1,100.0,95.9,A
51,4.8,70.3,yes,yes,66.9,66.7,82.8,76.2,C
52,6.7,73.0,yes,no,87.1,78.6,99.8,90.4,B
53,5.3,70.5,yes,yes,77.9,80.5,79.9,77.0,C
54,6.3,91.4,no,yes,95.8,93.3,85.2,88.4,B
55,6.0,90.7,yes,yes,91.9,85.6,100.0,92.5,B
56,2.5,68.7,yes,no,39.3,25.2,39.2,39.5,F
57,7.5,84.9,no,yes,83.4,81.5,79.5,86.2,B
58,5.3,76.6,yes,no,67.8,81.5,67.3,76.9,C
59,2.0,87.4,yes,no,39.8,40.9,59.9,41.1,E
60,2.8,52.5,yes,yes,51.3,48.7,53.4,46.2,E
61,4.5,66.8,yes,no,69.7,61.7,53.0,65.1,D
62,7.1,66.8,yes,no,78.9,63.1,83.9,85.8,B
63,6.5,79.8,yes,yes,76.1,61.2,76.7,77.4,C
64,2.8,60.4,yes,yes,62.7,65.5,47.6,54.9,E
65,5.7,76.6,yes,no,84.1,83.3,88.2,80.9,C
66,0.5,99.0,yes,no,32.1,28.5,38.0,39.2,F
67,3.0,52.2,yes,yes,33.8,45.9,47.3,46.9,E
68,6.8,75.2,no,yes,57.3,100.0,71.8,82.4,C
69,1.6,56.9,yes,yes,54.0,34.8,35.3,40.8,E
70,3.2,79.1,yes,no,80.1,57.2,47.2,57.1,D
71,0.5,62.0,no,no,32.0,30.9,51.4,24.6,F
72,0.7,95.1,yes,yes,41.4,43.6,23.8,50.0,E
73,1.6,65.9,yes,yes,33.9,62.8,30.7,37.1,F
74,1.3,97.9,yes,yes,53.1,58.0,59.5,59.5,D
75,4.2,50.2,no,yes,48.3,63.2,46.5,51.5,E
76,7.3,91.6,yes,yes,99.6,100.0,99.1,96.4,A
77,1.1,63.1,no,yes,36.6,40.0,23.7,32.0,F
78,7.0,60.1,yes,yes,71.2,87.5,84.0,80.7,C
79,5.5,94.2,yes,yes,94.7,75.8,100.0,91.5,B
80,1.8,65.2,no,no,5.9,19.0,12.8,32.7,F
81,2.7,79.2,yes,yes,74.0,75.2,54.3,59.6,D
82,2.0,86.8,yes,no,44.8,48.9,54.0,58.5,D
83,6.4,71.0,yes,no,83.6,100.0,98.5,83.0,C
84,5.9,55.1,no,no,74.1,55.2,72.0,69.1,D
85,2.8,96.1,yes,yes,63.8,57.9,53.0,61.7,D
86,0.9,82.4,yes,no,49.0,45.7,45.0,43.9,E
87,1.8,94.6,yes,yes,74.3,57.7,46.7,61.3,D
88,5.2,88.4,no,yes,67.7,81.7,89.5,73.9,C
89,1.2,88.7,no,yes,55.6,73.1,57.4,53.4,E
90,4.5,79.5,yes,no,57.0,56.1,62.6,63.4,D
91,5.1,50.3,yes,no,71.3,50.2,63.1,59.9,D
92,5.7,94.1,yes,yes,80.5,86.2,79.4,82.0,C
93,1.4,91.5,yes,yes,40.0,46.1,31.2,41.3,E
94,3.9,86.4,no,no,57.3,49.7,54.7,59.5,D
95,4.0,93.9,yes,no,80.2,93.9,87.6,76.8,C
96,6.8,59.2,yes,no,86.9,79.9,88.2,87.9,B
97,4.0,64.1,yes,yes,65.6,73.9,70.1,66.6,D
98,3.6,57.9,yes,no,42.3,46.6,57.5,46.2,E
99,1.4,82.3,yes,no,37.2,50.4,48.3,39.9,F
100,5.7,71.9,no,no,67.8,57.0,61.6,66.9,D
101,5.1,55.1,yes,yes,76.8,73.0,74.8,66.8,D
102,5.9,78.8,yes,yes,72.3,48.8,70.5,68.8,D
103,5.4,66.9,yes,yes,68.7,72.3,64.8,73.5,C
104,7.1,74.5,yes,no,77.9,75.6,89.0,81.9,C
105,7.1,63.1,yes,yes,100.0,90.8,96.0,86.4,B
106,2.8,58.1,yes,no,24.0,58.0,23.3,39.3,F
107,1.9,72.5,yes,yes,39.3,44.8,42.7,52.9,E
108,7.4,61.3,no,yes,68.3,78.7,66.9,75.9,C
109,5.8,70.3,yes,no,71.6,60.4,85.2,65.2,D
110,7.8,69.1,no,no,73.4,96.5,74.7,82.4,C
111,4.2,97.0,yes,yes,58.0,71.2,49.0,67.3,D
112,7.7,59.3,yes,yes,98.5,85.1,76.7,88.9,B
113,1.4,64.3,yes,no,21.1,43.7,43.6,35.7,F
114,4.9,89.6,yes,yes,81.1,63.6,67.7,74.2,C
115,4.2,64.8,yes,yes,73.7,64.0,52.8,61.3,D
116,0.5,74.0,yes,no,44.4,35.1,20.1,37.1,F
117,1.9,88.1,yes,no,57.0,61.8,63.6,54.8,E
118,1.7,50.2,no,yes,39.2,12.8,40.9,32.1,F
119,1.0,97.8,yes,yes,65.9,32.0,41.9,39.6,F
120,7.6,73.1,yes,no,82.3,79.1,72.6,81.9,C
121,7.7,88.0,yes,no,92.4,76.4,86.1,92.0,B
122,7.2,96.0,yes,no,100.0,71.6,83.4,89.4,B
123,7.9,93.8,yes,yes,92.7,100.0,95.8,98.4,A
124,6.7,61.0,yes,no,85.3,86.2,80.0,87.8,B
125,7.5,77.8,no,no,100.0,100.0,76.9,87.1,B
126,2.0,70.5,no,no,62.7,52.9,52.8,53.1,E
